"TOA5","P304_B","CR1000","19892","CR1000.Std.32.05","CPU:SierraCZ_P304B_20220506.CR1","54211","Sap_Flow_P304B"
"TIMESTAMP","RECORD","Batt_volt","PTemp","TotalSapFlow_a","Vh_Outer_a","Vh_Inner_a","Alpha_Outer_a","Alpha_Inner_a","Beta_Outer_a","Beta_Inner_a","Tmax_Outer_a","Tmax_Inner_a","TotalSapFlow_b","Vh_Outer_b","Vh_Inner_b","Alpha_Outer_b","Alpha_Inner_b","Beta_Outer_b","Beta_Inner_b","Tmax_Outer_b","Tmax_Inner_b","TotalSapFlow_c","Vh_Outer_c","Vh_Inner_c","Alpha_Outer_c","Alpha_Inner_c","Beta_Outer_c","Beta_Inner_c","Tmax_Outer_c","Tmax_Inner_c","TotalSapFlow_d","Vh_Outer_d","Vh_Inner_d","Alpha_Outer_d","Alpha_Inner_d","Beta_Outer_d","Beta_Inner_d","Tmax_Outer_d","Tmax_Inner_d"
"TS","RN","","","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-06 08:45:00",0,12.48,21.95,0.275,-0.05,0.92,-0.00495,0.07904,0.1311,-0.06443,15.968,18.607,0.145,-0.16,0.63,-0.01461,0.05372,0.08698,-0.22227,17.23,18.524,-0.146,-0.43,0,-0.03817,0,0.18005,-0.16903,15.151,17.378,0.612,0.11,1.81,0.00973,0.15504,-0.05595,0.05541,18.567,20.376
"2022-05-06 09:00:00",1,12.47,22,0.087,-0.37,0.67,-0.03219,0.05712,0.12492,-0.07431,16.08,18.719,0.056,-0.2,0.39,-0.01787,0.03312,0.08317,-0.22363,17.15,18.705,-0.197,-0.46,-0.13,-0.04065,-0.01195,0.17118,-0.17173,15.521,17.644,0.367,-0.19,1.36,-0.01707,0.11712,-0.05425,0.0543,18.364,20.739
"2022-05-06 09:15:00",2,12.45,22.06,0.184,-0.26,0.86,-0.02291,0.07408,0.13026,-0.06977,16.135,18.671,0.039,-0.25,0.39,-0.02263,0.0333,0.085,-0.22271,17.249,18.545,-0.238,-0.58,-0.13,-0.05053,-0.01187,0.16626,-0.16877,15.524,17.752,0.417,-0.25,1.58,-0.02195,0.1357,-0.05817,0.05443,18.356,20.728
"2022-05-06 09:30:00",3,12.45,22.08,0.165,-0.26,0.8,-0.02313,0.06896,0.12766,-0.06129,16.335,18.715,0.109,-0.1,0.45,-0.00909,0.03872,0.08317,-0.22137,17.255,18.654,-0.156,-0.46,0,-0.04065,0,0.16689,-0.16725,15.572,17.954,0.496,0,1.56,0,0.13353,-0.05249,0.05656,18.72,20.68
"2022-05-06 09:45:00",4,12.45,22.14,0.126,-0.31,0.73,-0.02707,0.0623,0.13044,-0.06541,16.139,18.78,0.039,-0.25,0.39,-0.02221,0.03312,0.08108,-0.22271,17.56,18.7,-0.255,-0.63,-0.13,-0.05467,-0.01179,0.15836,-0.17259,15.524,17.75,0.375,-0.24,1.44,-0.02159,0.12346,-0.05997,0.04958,18.355,20.729
"2022-05-06 10:00:00",5,12.45,22.19,0.148,-0.31,0.8,-0.02755,0.06858,0.1287,-0.06323,16.396,18.518,-0.034,-0.4,0.32,-0.03543,0.02768,0.08094,-0.22319,17.257,18.553,-0.276,-0.69,-0.13,-0.06001,-0.01187,0.15868,-0.16689,15.629,17.598,0.415,-0.19,1.51,-0.01719,0.12919,-0.05259,0.05675,18.667,20.784
"2022-05-13 13:45:00",6,12.83,19.7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-05-13 14:15:00",7,12.86,17.34,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
